FIPS,County,State,Population,Population Density,LONGITUDE,LATITUDE
1001,Autauga,Alabama,55869,93.9835113888329,-86.6428,32.5349
1003,Baldwin,Alabama,223234,140.359456834828,-87.7171,30.7278
1005,Barbour,Alabama,24686,27.8714353352515,-85.3932,31.8696
1007,Bibb,Alabama,22394,35.9633078769365,-87.1264,32.9986
1009,Blount,Alabama,57826,89.6816475349779,-86.5674,33.9809
1011,Bullock,Alabama,10101,16.1963991203958,-85.7161,32.1005
1013,Butler,Alabama,19448,25.0678378765456,-86.6803,31.7524
1015,Calhoun,Alabama,113605,187.502095773032,-85.8261,33.7714
1017,Chambers,Alabama,33254,55.7878006722198,-85.392,32.9144
1019,Cherokee,Alabama,26196,47.273554196006,-85.6038,34.176
1021,Chilton,Alabama,44428,64.1331714135142,-86.7188,32.8479
1023,Choctaw,Alabama,12589,13.8071145104264,-88.2628,32.0192
1025,Clarke,Alabama,23622,19.1112065962141,-87.8309,31.6709
1027,Clay,Alabama,13235,21.9443367786391,-85.8605,33.2691
1029,Cleburne,Alabama,14910,26.5894336094042,-85.5188,33.6745
1031,Coffee,Alabama,52342,77.1276367422119,-85.9882,31.4026
1033,Colbert,Alabama,55241,93.1712317189682,-87.8049,34.7004
1035,Conecuh,Alabama,12067,14.2308134260659,-86.9936,31.4293
1037,Coosa,Alabama,10663,16.3562787069937,-86.2476,32.9362
1039,Covington,Alabama,37049,35.9060876472925,-86.4512,31.2485
1041,Crenshaw,Alabama,13772,22.5802962749892,-86.3136,31.7315
1043,Cullman,Alabama,83768,113.974320324354,-86.8676,34.132
1045,Dale,Alabama,49172,87.6760900280591,-85.611,31.4318
1047,Dallas,Alabama,37196,38.0278594249201,-87.1065,32.3258
1049,DeKalb,Alabama,71513,92.0198498080412,-85.8041,34.4598
1051,Elmore,Alabama,81209,131.281210042495,-86.1492,32.5966
1053,Escambia,Alabama,36633,38.7180380490096,-87.1616,31.1262
1055,Etowah,Alabama,102268,191.158801110792,-86.0348,34.0453
1057,Fayette,Alabama,16302,26.0022620497651,-87.7388,33.7212
1059,Franklin,Alabama,31362,49.4606358819076,-87.8438,34.4417
1061,Geneva,Alabama,26271,45.6972228443449,-85.839,31.095
1063,Greene,Alabama,8111,12.5543394140409,-87.9522,32.8531
1065,Hale,Alabama,14651,22.7759835025381,-87.6291,32.7627
1067,Henry,Alabama,17205,30.6273263206566,-85.2414,31.5147
1069,Houston,Alabama,105882,182.574947561228,-85.3025,31.1532
1071,Jackson,Alabama,51626,47.9141112593233,-85.9993,34.7794
1073,Jefferson,Alabama,658573,592.596280597631,-86.8965,33.5543
1075,Lamar,Alabama,13805,22.8440332326284,-88.0969,33.7792
1077,Lauderdale,Alabama,92729,138.829943155465,-87.6543,34.9015
1079,Lawrence,Alabama,32924,47.6520224817263,-87.311,34.522
1081,Lee,Alabama,164542,270.781504060693,-85.3556,32.6012
1083,Limestone,Alabama,98915,176.60405643739,-86.9813,34.8101
1085,Lowndes,Alabama,9726,13.6003894149925,-86.6501,32.1548
1087,Macon,Alabama,18068,29.6472869662502,-85.6926,32.386
1089,Madison,Alabama,372909,465.229903736735,-86.5502,34.7631
