fips,Station_C_1,Station_C_2,WBAN_C_1,WBAN_C_2,dist_f_1,dist_f_2,county,state,pop_density,pop
1001,722265,722265,99999,13821,19.20108828,20.03834262,Autauga,Alabama,93.98351139,55869
1003,997784,999999,99999,63869,13.90881692,15.55152073,Baldwin,Alabama,140.3594568,223234
1005,720363,999999,63872,23801,16.48483668,36.04293733,Barbour,Alabama,27.87143534,24686
1007,722290,722300,03881,53864,9.887727005,23.47588988,Bibb,Alabama,35.96330788,22394
1009,999999,720376,63867,63880,19.74680681,24.723045,Blount,Alabama,89.68164753,57826
1011,722267,722267,99999,03878,23.90073597,23.97007496,Bullock,Alabama,16.19639912,10101
1013,720362,999999,63874,73802,7.640954789,24.39596133,Butler,Alabama,25.06783788,19448
1015,722287,720504,13871,99999,12.85625011,18.99681312,Calhoun,Alabama,187.5020958,113605
1017,747807,749011,03821,99999,20.12946383,20.15966647,Chambers,Alabama,55.78780067,33254
1019,999999,722111,00440,63847,15.88059971,21.648598,Cherokee,Alabama,47.2735542,26196
1021,999999,726378,63891,99999,6.20565384,22.22382354,Chilton,Alabama,64.13317141,44428
1023,999999,722340,23802,13865,32.27068126,35.60909956,Choctaw,Alabama,13.80711451,12589
1025,999999,722276,23802,99999,15.52894322,49.21504152,Clarke,Alabama,19.1112066,23622
1027,722287,720504,13871,99999,21.9662679,23.51429591,Clay,Alabama,21.94433678,13235
1029,722287,720674,13871,99999,20.3189059,21.30914222,Cleburne,Alabama,26.58943361,14910
1031,722219,722239,99999,53861,8.654642628,14.35752786,Coffee,Alabama,77.12763674,52342
1033,999999,723235,63894,13896,10.62196505,12.01975525,Colbert,Alabama,93.17123172,55241
1035,999999,722276,13885,53820,2.47359743,3.110444226,Conecuh,Alabama,14.23081343,12067
1037,720265,720265,99999,63833,16.32726503,16.57031618,Coosa,Alabama,16.35627871,10663
1039,722275,720361,53843,63870,5.374234343,16.41212694,Covington,Alabama,35.90608765,37049
1041,999999,999999,73802,23801,12.74804547,18.86115949,Crenshaw,Alabama,22.58029627,13772
1043,999999,722031,63867,99999,5.975234014,9.381652955,Cullman,Alabama,113.9743203,83768
1045,722238,722238,99999,63873,6.101982815,6.546163135,Dale,Alabama,87.67609003,49172
1047,722266,722266,99999,13850,7.031314799,7.400964472,Dallas,Alabama,38.02785942,37196
1049,722111,999999,63847,63862,4.834325353,12.89578966,DeKalb,Alabama,92.01984981,71513
1051,749073,722265,99999,13821,14.79937021,18.83494687,Elmore,Alabama,131.28121,81209
1053,999999,722276,63899,99999,6.610625658,21.14559085,Escambia,Alabama,38.71803805,36633
