USAF,WBAN,STATION NAME,LAT,LON
007018,99999,WXPOD 7018,0,0
007026,99999,WXPOD 7026,0,0
007070,99999,WXPOD 7070,0,0
008260,99999,WXPOD8270,0,0
008268,99999,WXPOD8278,32.95,65.567
008307,99999,WXPOD 8318,0,0
008411,99999,XM20,,
008414,99999,XM18,,
008415,99999,XM21,,
008418,99999,XM24,,
010000,99999,BOGUS NORWAY,,
010010,99999,JAN MAYEN(NOR-NAVY),70.933,-8.667
010013,99999,ROST,,
010014,99999,SORSTOKKEN,59.792,5.341
010015,99999,BRINGELAND,61.383,5.867
010016,99999,RORVIK/RYUM,64.85,11.233
010017,99999,FRIGG,59.98,2.25
010020,99999,VERLEGENHUKEN,80.05,16.25
010030,99999,HORNSUND,77,15.5
010040,99999,NY-ALESUND II,78.917,11.933
010050,99999,ISFJORD RADIO,78.067,13.633
010060,99999,EDGEOYA,78.25,22.817
010070,99999,NY-ALESUND,78.917,11.933
010071,99999,LONGYEARBYEN,78.217,15.583
010080,99999,LONGYEAR,78.246,15.466
010090,99999,KARL XII OYA,80.65,25
010100,99999,ANDOYA,69.293,16.144
010110,99999,KVITOYA,80.067,31.5
010120,99999,,,
010140,99999,SENJA-LAUKHELLA,69.233,17.9
010150,99999,HEKKINGEN FYR,69.6,17.833
010160,99999,KONGSOYA,78.933,28.9
010170,99999,AKSELOYA,77.683,14.783
010171,99999,GIBOSTAD,69.35,18.083
010190,99999,SVARTTANGEN,77.517,20.817
010200,99999,SORKAPPOYA,76.483,16.55
010230,99999,BARDUFOSS,69.056,18.54
010231,99999,DRAUGEN,64.35,7.8
010240,99999,PYRAMIDEN,78.65,16.367
010250,99999,TROMSO,69.683,18.919
010260,99999,TROMSO,69.65,18.933
010270,99999,TROMSO-HOLT,69.65,18.9
010280,99999,BJORNOYA ISLAND,74.517,19.017
010300,99999,KISTEFJELL,69.283,18.133
010303,99999,TROMSO/SKATTURA,69.7,19.017
010320,99999,OVERBYGD,69.017,19.283
010330,99999,TORSVAG FYR,70.25,19.5
010340,99999,FUGLOYKALVEN FYR,70.317,20.15
010350,99999,LYNGEN GJERDVASSBU,69.567,20.1
010360,99999,NORDNESFJELLET,69.567,20.433
010361,99999,SKIBOTIN,69.367,20.267
010370,99999,SKIBOTN 2,69.383,20.283
010400,99999,SKJERVOY,70.033,20.983
010410,99999,NORDREISA-OYENG,69.733,21.017
010420,99999,HASVIK-SLUSKFJELLET,70.6,22.45
010430,99999,ROGNSUNDET,70.417,22.817
010431,99999,LOPPA,70.333,21.467
010435,99999,HASVIK,70.483,22.15
010440,99999,HASVIK,70.487,22.14
010450,99999,NORDSTRAUM I KVAENANGEN,69.833,21.883
010455,99999,,,
010460,99999,SORKJOSEN,69.787,20.959
010470,99999,KAUTOKEINO II,69.017,23.067
010490,99999,ALTA,69.976,23.372
010510,99999,SUOLOVUOPMI,69.583,23.533
010520,99999,HAMMERFEST AP,70.683,23.683
010530,99999,HAMMERFEST RADIO,70.683,23.683
010550,99999,FRUHOLMEN FYR,71.1,23.983
010570,99999,CUOVDDATMOHKKI,69.367,24.433
010580,99999,SUOLOVUOPMI LULIT,69.567,23.533
010590,99999,BANAK,70.069,24.973
010610,99999,BRENNELV,70.067,25.117
010617,99999,OSEBERG,,
010620,99999,HOPEN ISLAND,76.5,25.067
010630,99999,KISTRAND III,70.45,25.217
010650,99999,KARASJOK,69.467,25.517
010660,99999,HELNES FYR,71.067,26.233
010670,99999,LEVAJOK-EVJEN,69.9,26.417
010671,99999,LEVAJOK-EVJEN,69.9,26.417
010680,99999,HONNINGSVAG/VALAN,71.017,25.983
010720,99999,,,
010740,99999,MEHAMN,71.033,27.833
010750,99999,RUSTEFJELBMA,70.4,28.2
010760,99999,TANABRU,70.217,28.167
010780,99999,SLETTNES FYR,71.1,28.233
010820,99999,NYRUD,69.15,29.25
010830,99999,BERLEVAG,70.867,29.033
010840,99999,PASVIK,69.45,30.033
010850,99999,BUGOYFJORD,69.85,29.417
010860,99999,BATSFJORD,70.6,29.693
010875,99999,HEIMDAL OIL PLATFORM,59.567,2.217
010876,99999,NORNE OIL PLATFORM,66.017,8.083
010877,99999,TROLL A  OIL PLATFORM,60.633,3.717
010878,99999,SNORRE A  OIL PLATFORM,61.45,2.133
010879,99999,SNORRE B  OIL PLATFORM,61.533,2.2
010880,99999,VADSO,70.067,29.85
010881,99999,NARVIK III/FRAMNES,68.467,17.5
010882,99999,ROROS,62.578,11.342
010883,99999,SANDANE/ANDA,61.833,6.117
010884,99999,GEITERYGGEN,59.185,9.567
010885,99999,BATSFJORD,70.6,29.733
010886,99999,SLEIPNER A OIL PLATFORM,58.367,1.9
010887,99999,TROLL C OIL PLATFORM,60.886,3.61
010890,99999,HOYBUKTMOEN,69.726,29.893
010920,99999,MAKKAUR FYR,70.7,30.083
010970,99999,SVARTNES,70.35,31.05
010980,99999,VARDO,70.367,31.1
010985,99999,,,
010986,99999,,,
010987,99999,,,
010990,99999,VARDO AP / SVARTNES,70.355,31.045
